"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","gene_biotype"
"ENSG00000001460",110.626846351538,0.450718807279848,0.168859442344522,2.66919516623922,0.00760332555695178,0.0251374889399496,"STPG1","protein_coding"
"ENSG00000001461",1498.67312381901,0.282047057519499,0.0999677989647431,2.82137908847,0.00478176594948839,0.0169393408248306,"NIPAL3","protein_coding"
"ENSG00000001629",2058.35310904381,0.347739513064091,0.116489606019159,2.98515485584953,0.00283434795850682,0.010833297250855,"ANKIB1","protein_coding"
"ENSG00000001630",42.1520059390936,-0.740024549849319,0.218383810477563,-3.38864198875836,0.000702396524850488,0.00326650279690608,"CYP51A1","protein_coding"
"ENSG00000001631",675.023093293682,0.778216680963641,0.165548953208921,4.7008251389034,2.59112328510817e-06,2.61366821953164e-05,"KRIT1","protein_coding"
"ENSG00000002016",437.554784794782,0.79884621782619,0.135624676875634,5.89012439497807,3.85905022577931e-09,9.83709098215973e-08,"RAD52","protein_coding"
"ENSG00000002586",4819.52595266298,-0.638971063773133,0.122938254382619,-5.19749582407826,2.01991076378326e-07,2.89541070357346e-06,"CD99","protein_coding"
"ENSG00000002822",178.765148166772,0.527811951354136,0.193084978314109,2.73357335180937,0.00626511667897514,0.0213006919709813,"MAD1L1","protein_coding"
"ENSG00000003147",100.492718958289,0.677618278209525,0.215146887622514,3.14956114725879,0.00163515885746558,0.0067412068446664,"ICA1","protein_coding"
"ENSG00000003402",20175.7305526461,0.422369518446637,0.127225311016697,3.31985447762988,0.000900643824877244,0.00403330970998842,"CFLAR","protein_coding"
"ENSG00000003436",52.2515397612353,1.21588118387092,0.360869169337483,3.36931300089488,0.000753558038527007,0.00346671106765278,"TFPI","protein_coding"
"ENSG00000003987",174.395075236616,0.798777166305449,0.158879359377958,5.02757041212155,4.96733118471947e-07,6.27253414149222e-06,"MTMR7","protein_coding"
"ENSG00000004059",1521.02937842849,-0.569158966591914,0.130071096209041,-4.37575282426468,1.21014084928724e-05,9.83617173215322e-05,"ARF5","protein_coding"
"ENSG00000004142",1360.73589320105,-0.246455657941872,0.0827837444680609,-2.97710208115747,0.00290987105160555,0.0110728143154557,"POLDIP2","protein_coding"
"ENSG00000004455",3202.22608472999,0.247363292586078,0.0718528305384449,3.4426381080941,0.000576069635418503,0.00275004361718569,"AK2","protein_coding"
"ENSG00000004660",606.242285665508,-0.500309753160393,0.198003063685916,-2.52677783791272,0.0115114295545357,0.0356671407776363,"CAMKK1","protein_coding"
"ENSG00000004700",1656.29797993635,0.307041166117626,0.123476274030322,2.48664100475065,0.012895545498715,0.0392751040445362,"RECQL","protein_coding"
"ENSG00000004766",980.54823084283,0.444674979202377,0.137405296467169,3.23622881093688,0.00121120253543271,0.00520483754309281,"VPS50","protein_coding"
"ENSG00000004777",226.359198883168,-1.01748401196318,0.195214422246249,-5.21213545728552,1.8667915496018e-07,2.7080316908262e-06,"ARHGAP33","protein_coding"
"ENSG00000004779",588.022276449112,-0.272007370770181,0.104390025576542,-2.60568353411061,0.00916911352124155,0.0294512705823088,"NDUFAB1","protein_coding"
"ENSG00000004838",55.503242674857,-0.903386139801269,0.267400363076881,-3.37840281668404,0.00072908197307838,0.0033694958159471,"ZMYND10","protein_coding"
"ENSG00000004864",514.795050283756,0.238310027608386,0.0967601768295125,2.4628936760655,0.0137820779086307,0.0415672577835857,"SLC25A13","protein_coding"
"ENSG00000004897",1774.25916478697,0.407014289875614,0.106160586996413,3.83394912736652,0.000126102232361134,0.00073824238549549,"CDC27","protein_coding"
"ENSG00000004975",784.676318894638,-0.286013758976783,0.107182846750247,-2.66846578205972,0.00761985397692066,0.0251862303572409,"DVL2","protein_coding"
"ENSG00000005001",13.1270579621826,-1.49251157613298,0.432486486666676,-3.45100164316413,0.000558510168970621,0.00267860793380843,"PRSS22","protein_coding"
"ENSG00000005020",3990.37218573844,1.01887650103279,0.189852087760419,5.36668578708782,8.01965880543917e-08,1.32197842755029e-06,"SKAP2","protein_coding"
"ENSG00000005022",2998.13318060491,-0.805207109819855,0.11902987502228,-6.76474800691119,1.33541422805671e-11,7.860189971034e-10,"SLC25A5","protein_coding"
"ENSG00000005059",2521.97051755936,-0.325534678415128,0.0989971628450678,-3.28832331209931,0.00100786024557048,0.00444576502028788,"MCUB","protein_coding"
"ENSG00000005075",829.964208584529,-1.08700077351005,0.150623370324733,-7.21668072601585,5.32718506123151e-13,4.81386368517008e-11,"POLR2J","protein_coding"
"ENSG00000005100",545.926496953511,0.275792573838184,0.104005274814596,2.65171717809335,0.00800835915993668,0.026265208328377,"DHX33","protein_coding"
"ENSG00000005156",1312.47416721978,0.697536573694358,0.0931107771573792,7.49146978459171,6.8106564521287e-14,8.16410560260131e-12,"LIG3","protein_coding"
